"","date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"1","02/16/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","H. LoForte fouled out to lf (3-2 BKBBK)."
"2","02/16/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","S.Valenzuela struck out swinging (1-2 BKSS)."
"3","02/16/2018","Stanford, Calif.",NA,"1","top","0-0","Cal St. Fullerton","Stanford","R. Cardenas fouled out to c (1-1 KB)."
"4","02/16/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Hoerner,N grounded out to ss (3-1 KBBB)."
"5","02/16/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Handley, M. popped up to 2b (2-2 BKBS)."
"6","02/16/2018","Stanford, Calif.",NA,"1","bot","0-0","Stanford","Cal St. Fullerton","Bakst,Dan flied out to cf (2-1 KBB)."
"7","02/16/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","C. Prescott grounded out to 3b (1-2 BSK)."
"8","02/16/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","D. Cope struck out swinging (2-2 BFBKFS)."
"9","02/16/2018","Stanford, Calif.",NA,"2","top","0-0","Cal St. Fullerton","Stanford","T. Lasch popped up to ss (1-0 B)."
"10","02/16/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Wulff, B. walked (3-0 BBBB)."
"11","02/16/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Daschbach singled through the left side (1-1 FB) Wulff, B. advanced to second."
"12","02/16/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Stowers,K reached on a fielders choice (0-0) Daschbach out at second ss to 2b Wulff, B. advanced to third."
"13","02/16/2018","Stanford, Calif.",NA,"2","bot","0-0","Stanford","Cal St. Fullerton","Wilson, A. popped up to ss (2-1 BBF)."
"14","02/16/2018","Stanford, Calif.",NA,"2","bot","0-1","Stanford","Cal St. Fullerton","Tawa, T. singled through the left side, RBI (0-2 KS) Stowers,K advanced to second Wulff, B. scored."
"15","02/16/2018","Stanford, Calif.",NA,"2","bot","0-1","Stanford","Cal St. Fullerton","Kuet,J struck out swinging (2-2 BFSBFFFS)."
"16","02/16/2018","Stanford, Calif.",NA,"3","top","0-1","Cal St. Fullerton","Stanford","J. Hernandez flied out to rf (2-1 BKB)."
"17","02/16/2018","Stanford, Calif.",NA,"3","top","0-1","Cal St. Fullerton","Stanford","J. Pavletich singled to left field (1-1 SB)."
"18","02/16/2018","Stanford, Calif.",NA,"3","top","0-1","Cal St. Fullerton","Stanford","B. Borgogno struck out swinging (0-2 KKFS)."
"19","02/16/2018","Stanford, Calif.",NA,"3","top","0-1","Cal St. Fullerton","Stanford","J. Pavletich out at second c to ss, caught stealing."
"20","02/16/2018","Stanford, Calif.",NA,"3","bot","0-1","Stanford","Cal St. Fullerton","Hoerner,N doubled to center field (0-0)."
