Conference,Team,ID
PAC-12,Stanford,674
PAC-12,Arizona,29
PAC-12,Arizona State,28
PAC-12,Oregon,529
PAC-12,Oregon State,528
PAC-12,Berkeley,107
PAC-12,UCLA,110
PAC-12,USC,657
PAC-12,Utah,732
PAC-12,Washington,756
PAC-12,Washington State,754
PAC-12,Colorado,157
SEC,Tennessee,694
SEC,Vanderbilt,736
SEC,Florida,235
SEC,South Carolina,648
SEC,Georgia,257
SEC,Kentucky,334
SEC,Missouri,434
SEC,Arkansas,31
SEC,Mississippi State,430
SEC,Ole Miss,433
SEC,LSU,365
SEC,Alabama,8
SEC,Auburn,37
SEC,Texas A&M,697
BIG-10,Nebraska,463
BIG-10,Rutgers,587
BIG-10,Michigan,418
BIG-10,Maryland,392
BIG-10,Indiana,306
BIG-10,Iowa,312
BIG-10,Ohio State,518
BIG-10,Illinois,301
BIG-10,Penn State,539
BIG-10,Northwestern,509
BIG-10,Michigan State,416
BIG-10,Purdue,559
BIG-10,Minnesota,428
BIG-12,Baylor,51
BIG-12,TCU,698
BIG-12,Texas Tech,700
BIG-12,Kansas State,327
BIG-12,Kansas,328
BIG-12,Texas,703
BIG-12,West Virginia,768
BIG-12,Oklahoma,522
BIG-12,Oklahoma State,521
ACC,Virginia,746
ACC,North Carolina,457
ACC,Miami,415
ACC,Virginia Tech,742
ACC,Duke,193
ACC,Pittsburgh,545
ACC,Georgia Tech,255
ACC,Notre Dame,513
ACC,Wake Forest,749
ACC,Clemson,147
ACC,Louisville,367
ACC,Boston College,67
ACC,Florida State,234
ACC,NC State,490
Big West,Cal Poly,90
Big West,Cal State Fullerton,97
Big West,CSU Bakersfield,94
Big West,CSUN,101
Big West,Hawaii,277
Big West,Long Beach State,99
Big West,UC Davis,108
Big West,UC Irvine,109
Big West,UC Riverside,111
Big West,UC San Diego,112
Big West,UC Santa Barbara,104
WCC,Brigham Young,77
WCC,Gonzaga,260
WCC,Loyola Marymount,370
WCC,Pacific,534
WCC,Pepperdine,541
WCC,Portland,551
WCC,Saint Mary's,610
WCC,San Diego,627
WCC,San Francisco,629
WCC,Santa Clara,631
Mountain West,Air Force,721
Mountain West,Fresno State,96
Mountain West,Nevada,466
Mountain West,New Mexico,473
Mountain West,San Diego State,626
Mountain West,San Jose State,630
Mountain West,UNLV,465
WAC,Abilene Christian,2
WAC,Lamar,346
WAC,Sam Houston,624
WAC,Stephen F. Austin,676
WAC,Tarleton,1395
WAC,UT Rio Grande Valley,536
WAC,California Baptist,30135
WAC,Dixie State,30095
WAC,Grand Canyon ,1104
WAC,NM State,472
WAC,Sacramento State,102
WAC,Seattle U,1356
WAC,Utah Valley,30024
